# Derived from en-GB-x-rp.dict by Reece H. Dunn (Cainteoir Technologies)
# https://github.com/rhdunn/en-GB-x-rp.dict
# Copyright (C) 2017 Reece H. Dunn. BSD 2-clause license.
enveloped	0 1 0
equally	1 0 0
ere	1
erect	0 1
erected	0 1 0
especial	0 1 0
especially	0 1 0 0
established	0 1 0
even	1 0
evening	1 0
ever	1 0
evermore	2 0 1
every	1 0
evil	1 0
evolutions	0 0 1 0
example	0 1 0
exceedingly	0 1 0 0
excellent	1 0 0
excessive	0 1 0
excited	0 1 0
exclaimed	0 1
execution	2 0 1 0
existed	0 1 0
expected	0 1 0
expired	0 1 0
explicit	0 1 0
explore	0 1
exposed	0 1
expressing	0 1 0
expression	0 1 0
expressive	0 1 0
extensive	0 1 0
extent	0 1
external	0 1 0
extreme	0 1
extremity	0 1 0 0
eye	1
eyes	1
f	1
fabric	1 0
face	1
fact	1
failed	1
fails	1
faintly	1 0
fall	1
falling	1 0
falls	1
familiarly	0 1 0 0 0
family	1 0 0
fancies	1 0
fancy	1 0
fangs	1
fantastic	0 1 0
far	1
farther	1 0
fashion	1 0
fashions	1 0
fast	1
faster	1 0
fatal	1 0
favorite	1 0 0
fawn	1
feared	1
fearful	1 0
fearing	1 0
feather	1 0
features	1 0
feeble	1 0
feel	1
feeling	1 0
feet	1
fell	1
fellow	1 0
fellows	1 0
felt	1
fervid	1 0
fete	1
fettered	1 0
feverishly	1 0 0 0
few	1
field	1
fiend	1
fierce	1
fiery	1 0 0
fifth	1
figure	1 0
figures	1 0
filigreed	1 0 2
filled	1
filmy	1 0
finally	1 0 0
finding	1 0
fine	1
finished	1 0
fire	1 0
first	1
fitted	1 0
fitting	1 0
fixedly	1 0 0
flagon	1 0
flambeaux	1 0
flame	1
flames	1
flashed	1
flashing	1 0
fleece	1
flew	1
flickered	1 0
flies	1
flirt	1
flitting	1 0
floating	1 0
floats	1
floor	1
flown	1
flows	1
flung	1
flutter	1 0
fluttered	1 0
folding	1 0
folds	1
follow	1 0
followed	1 0
followers	1 0 0
folly	1 0
fools	1
foot	1
for	1
force	1
forced	1
forcible	1 0 0
forget	0 1
forgiveness	0 1 0
forgotten	0 1 0
form	1
formed	1
former	1 0
forming	1 0
forth	1
fortunato	2 0 1 0
forward	1 0
foulness	1 0
found	1
four	1
fourth	1
fowl	1
frame	1
frames	1
frenzy	1 0
friday	1 0
friday's	1 0
fridays	1 0
friend	1
friends	1
fringed	1
fro	1
frolicsome	1 0 2
from	1
front	1
frowned	1
frozen	1 0
full	1
fully	1 0
furious	1 0 0
furiously	1 0 0 0
furnaces	1 0 0
furnished	1 0
g	1
gaieties	1 0 0
gain	1
gait	1
gasped	1
gates	1
gaudy	1 0
gaunt	1
gave	1
gay	1
gaze	1
gazed	1
gemmary	1 0 0
gently	1 0
gesticulation	2 0 0 1 0
get	1
getting	1 0
ghastly	1 0
ghost	1
giddiest	1 0 0
gigantic	0 1 0
gilded	1 0
gilead	1 0 2
girdled	1 0
girl	1
given	1 0
giving	1 0
glanced	1
glare	1
glaringly	1 0 0
glass	1
gleaming	1 0
gleams	1
glee	1
glitter	1 0
gloated	1 0
gloating	1 0
gloom	1
gloriously	1 0 0 0
glory	1 0
glow	1
glowed	1
go	1
goat	1
god	1
golden	1 0
gone	1
good	1
goose	1
gothic	1 0
grandeur	0 1
granite	1 0
grave	1
great	1
green	1
grew	1
grieve	1
grim	1
grope	1
grotesque	0 1
ground	1
group	1
grown	1
guessing	1 0
guiding	1 0
h	1
ha	1
habiliments	0 1 0 0
had	1
hair	1
hairs	1
hale	1
half	1
hall	1
halls	1
hammers	1 0
hand	1
handled	1 0
hands	1
hang	1
hangings	1 0
hangs	1
happened	1 0
happy	1 0
harken	1 0
has	1
hastened	1 0
hath	1
hating	1 0
haunted	1 0
have	1
having	1 0
he	1
head	1
heads	1
health	1
hear	1
heard	1
hearken	1 0
hearkened	1 0
heart	1
hearted	1 0
hearts	1
heaven	1 0
heavily	1 0 0
heavy	1 0
heel	1
heels	1
height	1
held	1
help	1
her	1
here	1
herein	0 1
hernani	0 1 0
herod	1 0
heroded	1 0 0
hesitated	1 0 2 0
hesitating	1 0 2 0
hideous	1 0 0
high	1
him	1
himself	0 1
his	1
histories	1 0 0
hitherto	1 0 2
hoarsely	1 0
holding	1 0
home	1
honour	1 0
hope	1
hopes	1
horizontally	2 0 1 0 0
horror	1 0
hour	1 0
hours	1 0
house	1
how	1
however	0 1 0
hue	1
huge	1
human	1 0
humble	1 0
hundred	1 0
hung	1
hurriedly	1 0 0
